Stars,Titles,Reviews
5,It is good looking with unbeatable quality,Play Video
3,Average Quality,The material used very thin. It having much spaces than expected but i don't know how much weight can be handled. Color is just OK. Padding is also not that expected level. Overall worth for 1000₹
4,Bag,It's good but the back will get easily damaged soon
5,Best quality,Material is very good and zip quality is best.
5,NICE BAG,"Very compact and good to carry laptop,waterbottle and for daily use."
4,Good,Stitches are solid. It is premium. Weight is less.
5,Good quality bag in town,Finally a good quality bag is with me with this affordable price.
5,Bag majbuti hai aur Achcha hai,Bag to design mein Achcha hai per andar aur thoda pocket Diye to Achcha rahata tha Baki to Silai Achcha hai sab Kuchh achcha hi hai
5,Quality is good,This bag too good to carry and quality also fine
5,Superb product,Worthy for money
3,Nice bag,I like this bag
5,good quality product.,worth every penny. happy with the product.
3,Avarage,"Just ok , looking not good"
5,Quality not good,Waste of money quality so bad
4,American tourister back pack,The quality of bag is good and the rate for bag is ok
4,Ok,Ok
3,How Can a Luggage band make this mistake,"Decent 35 lt backpack bur does not have side reinforcement bands.

For it's size and if you use it at a school bag with 12 Kg weight it can be bad for your back .

Retrun it.

American Tourister I am sure you will not committed this Rs 20 cost saving in USA"
4,Good,Overall good
4,Light weight,"Bag is okay, light weight, but no rain cover provide"
4,Good for student,Nice & comfortable
4,Nice 👍,Good one
5,Very Good Product,"Value for money
Long durability"
5,Best Bag 🛍️ I recommend it.,Best Bag I like it .i would also recommend it
4,Good quality,I like the product
5,Valuable,Best bagpack don't think just go for it only drawback is there is no compartment for laptop other wise it is a very good product 😎😎
5,Good as expected,Good as expected
5,A usefull purchase.,Excellent product.
5,Nice Product,Quite Big and light weight. The material used is also quite nice
5,Good product,Nice bag. My son loved it.
5,Value for money,"Fully satisfied about this product.
Good delivery. Easy payment done 👍
Thanks Amazon 😊"
5,very nice bought yesterday,it is looking very good as a bag but there was no packaging. i dont like it. i want my some costly product packaged which is safe in a good packaging.
5,👍,Good worth for money
5,Amazing,Amazing Quality. Worth for a Money
5,Awesome,Awesome 🛍️
5,Quality,It is good and space is also much.
5,Good one,Comfortable and rough and tough
5,Durable product,Good and spacious bag
5,Good product,Value for money
5,good,good
5,Nice product,Nice
5,Good space,
5,Good quality,I am very happy
5,"Nice looks, Good amount of Space for Books, Water Bottle holder is also big enough.",
5,Best quality,Quality product
5,American Tourist backpack,"Play Video
 Amazing product.. I love it.. material is awesome packing was also nice bag was not packed with unnecessary paper which I liked most. Thank you so much Amazon for this wonderful product.. Amazon is always love 💜 delivery was smooth always got best product"
5,Good durability,Nothing is better than this
5,It is good looking with unbeatable quality,
5,Best quality,Material is very good and zip quality is best.
5,NICE BAG,"Very compact and good to carry laptop,waterbottle and for daily use."
5,Good quality bag in town,Finally a good quality bag is with me with this affordable price.
5,Bag majbuti hai aur Achcha hai,Bag to design mein Achcha hai per andar aur thoda pocket Diye to Achcha rahata tha Baki to Silai Achcha hai sab Kuchh achcha hi hai
5,Quality is good,This bag too good to carry and quality also fine
5,Superb product,Worthy for money
5,good quality product.,worth every penny. happy with the product.
5,Quality not good,Waste of money quality so bad
5,Very Good Product,"Value for money
Long durability"
5,Best Bag 🛍️ I recommend it.,Best Bag I like it .i would also recommend it
5,Valuable,Best bagpack don't think just go for it only drawback is there is no compartment for laptop other wise it is a very good product 😎😎
5,Good as expected,Good as expected
5,A usefull purchase.,Excellent product.
5,Nice Product,Quite Big and light weight. The material used is also quite nice
5,Good product,Nice bag. My son loved it.
5,Value for money,"Fully satisfied about this product.
Good delivery. Easy payment done 👍
Thanks Amazon 😊"
5,Quality,good quality and also more space
5,Nice,I like this product and very nice
5,Very nice 👌,Very nice 👌
5,"Worth every Rupees, Go for it","I bought it many years ago and while just browsing Amazon orders i m here to review this bag. It has been with me 4 years of my graduation and still in good condition, I have travelled many places with my bag and my 3.5 kg laptop with all accessories and also cloths in it and found it ultra durable. I had bought this for around 800Rs and along with a skybag for my brother, So this is still with me but my brother abandoned his bag cause that bag can't even store books and showes many problems.
So this is not just my bag but it's my emotion."
5,Very good bag Ikep 1week trip luggage in that bag it is 32lit but it is very big,Very good bag it looks good it's packing is good
5,Worth for money,"Worth for money, good quality. Received in good condition."
5,nice bag,quality
5,"It's spacious bag, and most value for money products",
5,Good Product,
5,Daily driver,"Daily driving the backpack. Made for most age range in teenagers and adult to carry heavier books. Plenty of space, straps are comfortable. A laptop compartment would have been nicer though. Definitely don't buy the white variant, it gets dirty easily and harder to clean."
5,Excellent,Excellent
5,Best bag for school and college students,"I absolutely loved it, I have been using this bag since 7months , it's still amazing,it's comfortable and perfect size for school and college students,condition is also good."
5,Good product,Good product
5,Very useful good one,I didn't found any disadvantages on this backpack. everything was good.
5,Very good product value for money," Fine Quality at this price, good condition and overall appearance looks fine"
5,Excellent,Excellent
5,Excellent product but no rain cover,The backpack is excellent and liked it also but it does not have the rain cover with it hence I had to return it.
5,Amazing Quality and amazing functions,Everything is perfect the functions and the ease of the product.
5,Vrry good product..happy,Very big.. n nice colour.. zip quality everything good. Son using from 4months. No damage ..
5,Value for Money,Value for Money... Good Quality Material...
5,Nice product,I like the product as well as the brand..
5,Too good,Just superb
5,About bag,Very good
5,Comfort,Comfortable
5,Good,All are good I am using for college
5,Amazing,Nice Bag from American Tourister 👌
5,Very nice bag for school 🎒,I use it for school 🎒
5,Good product,Like
5,Very nice,Usefull
5,Looks very nice. The quality seems good 😊,Bag looks good. Zipper also good by using it
5,Wonderful bag ..,"Spacious, comfortable straps,water proof.."
5,Worth it to buy,Best bag In Less price
5,It's just wao,Very good school bag for my kids it's light weights just go for this
5,Good and Durable,"Daily usage bag, We can use it rough and tough, no issue till now from 1 year"
5,Great quality and light,"Great bad. good stitching, lightweight, good color, spacious, love it."
5,Cloth material,Comfortable
5,Very good quality and very comfortable,I am using it from 2 weeks and its damn comfortable. Must buy
5,VERY NICE BAG. 3 COMPARTMENTS AVAILABLE,"* Very Nice Quality.
* Value for Money.
* 3 compartments available. 2 Big compartments and 1 accessories compartment.
* Height (Length) of the bag is Good for school students.
* Suitable for 9th/10th std students.

I BOUGHT FOR MY CHILD, STUDYING 9TH STD CBSE. 100% FULL FILLS THE NEED.

SURELY GO FOR IT."
5,Very good 👍,Very nice
5,Good,Good
5,Worth it,"I like it's colour and design. This bag has bigger space to put your essential items and it is comfortable also. It's
Outer Material is made of Polyester. It is Water resistant but not Waterproof, that's a little disappointment for me but overall it is worth the price."
5,Very good product,excellent quality
5,Nice backpack,"Very useful for daily use.
As expected and nice looking colour."
5,Is like shown in the pictures,"Pros
The chains are made of metal is water proof light wait have compartments
Corns
Do not have place to keep s lunch box"
5,Value for money,Good product with in this price. Amazon also gave 200 INR cash back. Thanks to Amazon.
5,Excellent product,Excellant
5,Excellent,Excellent
5,Excellent Product with Excellent Service.,"Excellent Product sent from Amazon.

Very good quality BagPack.

ThankstoAmazon."
5,BEST BACKPACK,"Using it till 2018
now 2023 ..... exactly same ...
go for it❤❤❤"
5,Don't have laptop sleeve,Nice product good quality but not have laptop sleeve and Rain cover
5,The bag quality and space from this brand at this price is awesome,The quality and space in this product is great
5,Good brand,"Children's using for school
Thay like bags"
5,Best quality,Like me heavy weight and comfortable
5,Stylish,Bigger and nice space for travelling
5,Brand name and it's quality,"I bought it in mansoon as I wanted a waterproof product to keep my books and stuff safe.
Pro: 1 quality is good not best
2. Stitches are strong
3. Can use for more weight than they
advice
4. No worry for 3 to 4 years for sure with
average use
5. Back sheet is soft and net gives
breathing effect to back
6. Can use as backpack but not with
heavy stuff
Cons: 1. Waterproofing is not that best
2. Can't use in heavy rains
3. Back side is not that much
breathable
4. Pockets for different stuff is not
given as it's not backpack people
use it for school and college
5. Price is little higher than affordable
If you get caught in any offer you
should certainly go for it"
5,Nice,Best under 1000
5,Nice,Very nice
5,Backpack for every need,"It's very lightweight and can caaryy more weight.

I have done review on My YouTube channel.
so plaes find timeless Gadgets and go check it out."
5,Awesome product !,"it was a awesome product as the product , is a light in weight and the colors are the most delight as the as the white & blue color, as the it looks was a stunning , i recommend all to go for it ."
5,Quiet Satisfying Product.,As a brand quiet satisfied with the fit and finish of the product. I ordered two bags to gift some one. They also liked the bags. Spacious and we'll designed compartments.
5,It's good for compact travellers,"It has a huge space for all your necessary items. All the way from clothing to electronics, it can fit everything. It's a must for traveling enthusiasts."
5,,"आप पर्यावरण के लिये ,,,प्रॉपर पॅकिंग नही कर रहे,,,सिर्फ एक प्लॅस्टिक मे भेज रहे हो,,,,तो उसमे आपका करोडो रुपया बचत हो रहे है,,,,,लेकीन इस मूव्ह का आप कस्टमर को किसीं भी तरह का फायदा नही होने दे रहे,,,,,,"
5,Great quality,Good size bag and made of great material
5,Best quality value for money,Nice bag for school and office use
5,Good,Quality is good
5,The bag is value for money,"If the bottle holer would be bigger that the bottle would not fall 😅
Overall the bag is gorgeous😍❤
The chain are so smooth to open and compartment are bigger in size 😇
The bag quality is amazing👍
The bag is so comfortable for travelling ☺
You should buy this bag 👜"
5,Best quality and value for money,Value for money
4,Good product,"Overall good product, using last 1 month without any issues"
4,Bag review,Very good product it is very easy to use and the package is all good so I recommend you to buy this but one think I don't like is it has less space but still you can buy it
4,Good quality,Value for money
4,पैसा वसूल,Good
4,Decent for the cost,This bag is decent for 1k. Zips are a bit low quality. The 3rd pocket doesn't have much space. The bottle holder has started to tear after a few weeks. Looks alright and is comfortable enough for daily use though.
4,"Best in category, Go for it.","It's spacious in the given price range and the quality is also good. Looks descent and standard, unlike the other brands in this budget."
4,Good Product,I like it.
4,VERY NICE,VERY NICE PRODUCT
4,Material quality is good,Good quality in given price
4,Very nice product,Very nice product.
4,Very comfortable,Good looks
4,Good quality bag,"Play Video
 Not bad in this price, good quality"
4,Good Quality,Nice bag in this price range. check size once with your body type.
4,Badhiyaa,Good .majbut bag h
4,No Rain cover,Why there is no rain coat cover as mentioned in the product image
4,Good product,For school
4,Good product,Goog product material
4,Perfect! For school & collage students,
4,Good product in this price.,Good product in this price.
4,Good 👍,Nice beg
4,Product,Good quality product 👍
4,Comfortable & good one,Useful for everyone
4,Back pack,Everything is good but the price much according size.
4,Very good,Very good
4,Nice but I want a little bit smaller in height,"Comfot good, quality is good and seems durable product."
4,Good product,Good material
4,Should opt for black Colour,"White colour bag is good, but the print on the outside vanishes after regular use. So in my opinion one should opt for black one"
4,All good except one...,"The product was top-notch... It was lightweight, water resistant, had plenty of pockets.... and the product material was definitely good. But the only issue was I got the blue and white bag, and with only 2-3 days of use the white material was starting to come off or getting dirty, ad worst is the dirty part couldn't be cleaned with soap, alcohol, sanitizer, or anything else... However, it definitely looks cool 👍🏼"
4,Nice,Great bag
4,Nice,Nice bag
4,About Laptop pocket,Bag is too good but no Laptop pocket.
4,Good,Satisfied with product and delivery timing
4,Bottle pocket,After the use of 15 days bottel pocket got cut own of its own
4,Bag review,Good bag
4,Classic backpack,Water resistant Material
4,Best,Like
4,Bag,It's good but the back will get easily damaged soon
4,Good,Stitches are solid. It is premium. Weight is less.
4,American tourister back pack,The quality of bag is good and the rate for bag is ok
4,Ok,Ok
4,Good,Overall good
4,Light weight,"Bag is okay, light weight, but no rain cover provide"
4,Good for student,Nice & comfortable
4,Nice 👍,Good one
4,Good quality,I like the product
4,Quality,It's great
4,No rain cover,In the image it show that bag has a rain cover but it doesn't have any rain cover.
4,Good,Good
4,Bad,Side bottle Cary burst in one month
4,The look and strength of the bag also its size and space provided,Very fancy look with high strength and big size
4,Good bag value for money,Durable and good looking
4,Nice and Durable,Good quality product but the raincover is falsely advertised.Its not included in the bag.Otherwise great bag and worth the price.
4,Good Product,"Good for college, and for laptop."
4,Bought as a gift for child,"Hope it works well for long. Looks good, quite lightweight. Delivered on time. Hope it can withstand the weight of more than a dozen text and note books. Will update review after use."
4,Good bag,"Play Video
 I like the capacity of bag good for travelling and one minus no laptop sleeve"
4,Light Weight,"Very Nice Bag,Value for money,Spaceable, Good Quality, For All classes."
4,This is my birthday gift. I am really happy with the product😁,
4,Nice product,"Being AT the quality and worth the value

Must buy for school or travel for 1 -2 days"
4,"Good quality,spacious,good packing","I ues it as my daily use for office,spacious backpack with good quality,"
4,Quality,Quality is ok. Not as expected by American tourister
4,Orange colour doesn't suits on Boys.,"After using two year i can say that quility of this product was good but i always had to clean it after two or there weeks because sraps were getting dirty . Go for Black varient of this bag . This orange bag is very common in my college , I saw 8-9 people with this bag ."
4,Verified purchase,Good quality product for students
4,Nice Product,Good product
4,Nice,Nice look but prize high
4,Good,Worth Buying
4,Good Product,Good Product
4,,బాగుంది
4,It's so spacious,
4,Still using after 4 years,Still using after 4 years
4,Obviously Repudiated Brand,Good go for it
4,Very good and nice looks,It is good for college and quality and looks are good
4,Good backpack,Great bag for tours
4,nice bag but within 6-7 months pockets torn off,bag is good but pockets are not good.
4,Good,Overall good delivered very nicely.🙂
4,Satisfied,The quality is very nice size is also good. Looks kind of durable. Overall I am very much satisfied with this product.
4,Amazing bagpack in the segment !!!,The quality of product is pretty good 👍🏻
4,Good,Price is too high but ok for travels.
4,Good bag,"Light weight bag, can be used as school bag. Got it for Rs. 899/"
4,"Worth it, Go for it.","Worth it, Go for it."
4,Extremly light weight,"One of the standout features of this backpack is its vibrant red color, which adds a touch of style and personality to my everyday look. The backpack is made of high-quality materials that feel durable and sturdy, ensuring that it can withstand the rigors of daily use."
4,good,good quality i like it
4,"Good design,Easily become dirty.","It is a good design but you have to be cautious to dust , the color of the bag makes it very prone to be dirty."
4,Quality product,Value for money
4,Value for money,Good quality
4,Not too big! Not too small! PERFECT FOR COLLEGE STUDENTS ;),"Top notch quality , little bit congested for lunch box otherwise good tbh"
4,Nice looking bag good quality,Nice product
4,Good,It was ok
4,Value for money,Light weight and comfort smooth matterial
4,👍,Good product
4,"Best quality, very nice",
4,Quality,"Best quality
And weightless bag
Overall my rating 4.7/5
Value for money
Worth buying"
4,Bag is good but size is too big for kids. No suitable for primary kids.,Bag is of good quality and it's light weight. But it's too big so if you are looking to buy for junior or primary kids go for a smaller option.
4,Utility aspect,"It fulfills all my requirements 100%
Although look wise it is so so."
4,Nice one,Nice one… worth for the price!!!!
4,Ideal bag for all purpose use,"Water resistance capability is not so good in other words we can say that it's not a waterproof bag but for travelling its a good choice and is extremely lightweight because of the padded straps the total weight of the things you put inside is reduced.
Tgr capacity of holding things is more than u can even think of.
Its a ideal choice for use in all purpose whether it be school or college going ot it may be for office/travelling purpose."
4,As per description,"Spacious, quality wise seems fine, been 2 days that I am using, no issues till now. Very disappointed with the delivery though. Product was delivered just like that outside the locked door, despite giving instructions to drop the package at the security office.
5 stars for product minus 1 due to irresponsible delivery"
4,Good,Best
4,Material,Nice
4,Nic product,Very good product as expected
4,Satisfied.,Value for money.Good purchase.
3,Normal product,It's 2nd copy look like if u use daily it's will be 12 or 15 months you can use its after it will be demage
3,Quality,Product made out of thin material and not durable
3,Product quality is ok ok,600 to 700 worth quality is not up to the mark style is good
3,Super quality,Very nice quality and after 6 month front white color are gone don't wash your bag 3 times 6 month
3,Not the value that we pay,Think that it is not original as quality not good
3,Poor quality,This item was purchased expecting a good American Tourister quality. The bag is light weight and spacious but is very flimsy and does not provide any back support. This bag should not be purchased as a laptop bag. Not sure if it will last long with extended usage.
3,Torn within one year,The mesh pockets of this bag get torn within one year ....I usually used this bag for class.
3,Does the job well but ....,Found is very useful and quality also good. But the side mesh pockets are of real bad quality. Both of them got torned within 2 months of usage. The mesh material could be better. Other than that the bad serves me we'll.
3,Not bad😎,
3,Average quality product,Average quality product. Single zip per every compartment. Zip runner is single!!! Cost saving bad feature for the brand
3,Bag seems fine. Rain cover missing.,The bag I got it for 899. It's fine but no rain cover provided.
3,I did not get the rain bag cover,I did not get the rain bag cover
3,Good for travel,No separate compartment for laptop
3,Just okay,Material is not so good but it is quite spacious. After 3 months of use it looks quite old.
3,Good,Good but too large overall best
3,This bag has a big compartment,For school
3,Not satisfied,Side pocket torn apart afer use of water bottle
3,Photo looks better than the product,Okay one
3,Average Quality,The material used very thin. It having much spaces than expected but i don't know how much weight can be handled. Color is just OK. Padding is also not that expected level. Overall worth for 1000₹
3,Nice bag,I like this bag
3,Avarage,"Just ok , looking not good"
3,How Can a Luggage band make this mistake,"Decent 35 lt backpack bur does not have side reinforcement bands.

For it's size and if you use it at a school bag with 12 Kg weight it can be bad for your back .

Retrun it.

American Tourister I am sure you will not committed this Rs 20 cost saving in USA"
3,Large size not suitable to daily commuting,Bag is large in size and not comfortable to daily travelling
3,Average,Non water proof... not durable during rainy season
3,Cheap materials.,"The material of this bag is like cheap plastic.
The elastic on the bottle holders get loose real fast.
The last two pockets are barely useable."
3,Good,Not value for money
3,Good,Good
3,Very good net and clean condition and package not good and delivery man not good 👍🏻, Very good bag and original amarican touraster
3,Rain bag cover is not in the bag,Dislike because rain bag cover is not in the bag
3,Design torn,"The design on the bag will torn after 2 months, the bag is waterproof and best for all uses."
3,Quality not good,"Play Video
 No use of Side pockets"
3,Quality compromised,The material is vert thin and delicate. It is not sturdy at all. Infact the net of the side pockets got torn within 2 days.
3,Bag quality,"Bag quality is poor, bag sides no protection for laptop if we kept bag in ground bag and laptop direct hits ground"
3,Not bad,Not bad
3,Good product,Quality is best
3,Not worth to buy,Quality of the material is very poor. It doesn't come with paded laptop compartment which is very critical for protection. Plastic top is very poor quality
3,The quality of the bottle holders is so bad👎,"I do like the bag it has a lot of space to keep your books, notebooks and other things but quality of bottle holders is so bad that it tore off even in less than a month so disappointed about that and I can't keep my lunch box, it doesn't has an separate section."
3,Ok,It didn't feel like original product
3,Bag is good for school or travel activities,"Material is lightweight and of good quality but is very thin, only back side is padded.
NO LAPTOP COMPARTMENT.
NO RAINCOVER OR POCKET.
NO MULTIPURPOSE POCKETS."
3,Not bad,Value of money
3,Insufficient accessories,The bag came without the rain bag cover as mentioned
3,Not as Waterproof as expected,Thought the whole bag would be waterproof. Although its covering the zip but still not fully covering the front and back area.
3,Best for daily use,Very good strorege is available
3,Quality,Quality not that good....look wise its good
3,American tourister bag,"Material is not so good and it showed that there is bag cover but it's not provided.

Not s"
3,Very less features,"Very less features, very thin material, no separate key holder.
But convenient to use and carry maximum dresses and small accessories"
3,Material,Internal material quality is poor for rough use
3,Not satisfactory,"No Separate compartment for Laptop
Very Light material is used.
No special pockets
No Rain Cover"
3,Good,Good
3,Bag is good but............,The bag is good for capacity and it is very good for travelling to take even to school it's very good but tear in one month or two months request to not by product you can choose another product please don't buy this product event is going to buy we will take it careful or like for travelling don't take for school why I said to not take district school because when you take this school it will get automatically tear and in four months aur 3 month by this product please if you are travelling then you can buy this don't take to school that's all.
3,Bsd,Decent
3,Design and colours not as expected,"Design, quality and colours not as expected"
3,Quality not so good,"Purchased this bag based on ratings and reviews but not happy with the product quality.
Material used is very thin as compared to other bags i have at home."
3,AVERAGE,AVERAGE PRODUCTS
3,Ok,Ok
3,Value for money,Value for money
3,Product is good but white colour in not good that types of beg,Product is good but white colour in not good that types of beg.
3,Image and the real product is slightly different,"Picture and the actual product what i have received is slightly different in term of colours. And quality it seems pretty normal to me it's not that great with that price.
Ifact the front part looks similar to raxine."
3,Quality is not good,Material is like a plastic but the space is nice
3,Not upto the mark,The front chain has only on chain hook. Have to close chain completely every time.and that compartment also is opening 100% which makes things falling out of it. The material also looks glossy not the premium one.
3,Low quality bag,Quality of bag is not good. Very light. Not suitable for professional use.
3,The outline and inner stitches are not that great.. needs to be even more sturdy,Not sure
3,Packaging was not good,Quality is good but one black spot on the handle.only carrybag use for delivery if they have used box so it would be good for delivery.
3,Not met the expectations,Bad quality
3,Design and lightweight,"Abhi tk return ka payment nhi aaya h hum es pr case kr skte h 23 june ko returns le gya abhi tk received kyo nhi hua esi seva rahi to sbhi ka Amazon pr vishvash nhi rahegaOverall Product was good lightweight good design but..
The quality was not that good as expected from American tourister
Bottle holder was also big
Bag is suitable for 8th-College
Thanks amazon"
3,Bag cover,They have written that it contains bag cover but bag cover is not their
3,SCHOOL BAG BEST FOR KIDS,Not for laptop or office use
3,dont hv any separate compartment for laptop.,"This bag dont hv any separate compartment for laptops, thats the only thing buging me."
3,Not good for school,Not very good but decent bag wa made china but good quality but after 2 month the front layer of paint was started damage and it was
3,"Good looking bag, light weight",
3,Pad Lo Re Ek Barr,"Bag Was Good, Space Kafi Hai Agar Aap Space K Lie Dekh Rahe Hai To Better One, Second Is Ki Bag Kafi Light Weight Hai So Carry Karna Easy Hai Looking All Ok Ok But Thoda Bulky Bulky Laga Mujhe Personally Baki Bag Was Good"
3,Low quality inside but no damage,"Play Video
 This is second time i using the same brand but inside qualify is low"
3,Flimsy,Flimsy
3,Best buying experience,"The bag was not as i wanted so i returned it and buy another one which was better than this one but the good part in all these buying and returning process was Amazon's fastest,reliable services
thank you amazone"
3,"strength, weight, cost","While cost is considered I bought it really cheap less than 900 or 800 ,I don't remember , and with respect to price it can be accept but in not a product which you can see the quality also you cant carry a lot of items it as it may not handle it for regular use just to go to college you an use but if you in school not recommended for you as you need to carry a lot of things.
It is light weight w.r.t its size also not recommended to carry laptop as the cloth it is make up of is very delicate and wont provide any kind of padding
There are a lot of pockets in the first compartment which you will be of a great use
If you are thinking to buy this bag I would recommend you to put a little more amount of money and buy a better one
This one is sold in market because in has a logo of american tuorister nothing more than that"
3,Average,Average
3,Poor Quality,"Not happy with the product . The material used for inner partition is of inferior quality. Used for just 3 months and the net pocket tearing off. Straps are not sturdy; Shoulder start to pain if bag gets heavy .I think the bag is a duplicate one. Giving 2 star for timely delivery, one star for the bag."
3,The bag is little bit small as shown in figure,The bag is little bit small as shown in figure when it delivered I was dissatisfied otherwise it had good quality the material was too good this bags lift weights upto 15 kg good product must order this product was awesome 😎👍🏻(✿^‿^)ʘ‿ʘ(. ❛ ᴗ ❛.)(◔‿◔)( ◜‿◝ )♡
3,Good product,
3,AI THIKTHAK HAI VESE UTNI KHERAB NHI HAI,MARKET MAI IS RATE MIL JATI HAI VESE KHUCH KHASH NHI HAI THIKTHAK HAI VESE UTNI KHERAB NHI HAI
3,Quality is good but suitable for Laptop.,Quality is good but suitable for only Laptop not for general use. I bought this for office to carry lunch box & other items.
3,LOOKING LIKE A COPY PCS,"LITE WAIT , CLOTH QUALITY IS NAT GOOD LOOKING LIKE A AMERICAN TRURISTER COPY
AND FRONT WHITE COLOR IS NOT LOOKING GOOD."
3,Quality of material is so bad,"Everything is good in this bag but The material quality of the bag is so bad.
So, plz don't buy this bag."
3,Average quality,Print quality is very poor. It's peeled off within short time. Bag quality is ok
3,Nice product,Nice product
3,Above Average,"Pros...
Big bag at better price.
Light weight.

Cons.
Bag loses shape with luggage.. when filled with clothes becomes a pillow.
Front Zip have only one zip. Which makes the entire compartment useless.. to access some thing in this , zip should be opened completely.

Edit. Looks good even after one year of usage."
3,Product was demage,The bag was demage
3,Quality issues,The hanging part of bag is not striched
3,decent product,first impression - decent product for 999 rs. hoping american tourister will last long...
3,Not fit for rainy season,Its ok for this price but with out rain cover pouch its hard for rainy season
3,Not like Footloose,My first purchase of AT. It's better than Safari but VIP Footloose is more comfortable than AT.
3,Okay product. I was expecting more premium quality.,No separate shelve for laptop
3,Size,Size is less then expectations
3,Looking good but top layer is easily peeled off.,"The quality of zippers are nice, but the top layer is peeling off… this is really sad bad."
3,Submit the correct order,"In photo bag with bottle but in order there is only a bag
Please submit the correct products"
3,Not a expected but a good one,Good bag but Looks like school bag more than college
3,Not so good,"Good ,,could be better ...... light waight and"
3,Good for school bag.,It is light weight but material used in is not up-to mark. Next the back support stitching is too not comfortable. Rest are OK. Inner lining is very good. For school bag it's perfect but those want a travel bag they must go for a little better option.
3,Quality,"Not so good quality
Not fully waterproof"
3,It's front fabric is not so good and 2 to 3monts it will hane many scratches it will down look 👎,It's front fabric
2,Not good,The bottle pockets ripped in just two months of use...didn't expect this from such a brand...
2,Poor quality,Don't buy this bag
2,Ok ok,Ok ok
2,Material.,Not so good product.Quality of the product is worst.
