,Stars,clean_text_train
358,5,carry easy three way suggest buy product best product
359,4,bag great spacious two issue proper space bottle waterproofing good product
360,5,quality superb delivery delayed product also not packed amazon packaging bag really nice colour bit dark picture good quality gift brother loved star nice
361,5,portability value money multipurpose easy carry
362,5,quality really good feature given work perfectly worth money useful daily work small travel fit laptop perfectly keep easily pair clothing traveling small pouch front quite useful key phone small item easily convertible form side bag bagpack worth money good quality
363,5,good product good product
364,4,strong stylish
365,5,liked value money product
366,4,look great not practical respect space look great not practical respect space
367,4,better leather bag seriously good quality product
368,5,first would thank mfr fatmug excellent product complete convenient bag enough pocket decent strap laptop even tablet bag really light not feel shoulder back muscle took bag official trip delhi well fantastic laptop bag
369,5,totally worth money color bit darker shown app color better shown sooo many pocket carry everything plus carried like briefcase one side shoulder also back pack provision everything loved bag thing wish would made water resistant cloth sturdy last long best laptop bag
370,4,like good
371,5,play video sturdy spacious look good formal attire definitely star awesome product
372,4,good frequently traveller carry number item good space holder worth money
373,5,guy providing premium material design great price may suggest get manufacturing flat hat golf flat boy hat well designed cotton comfort material make successful product manufacture segment looting people lot excellent bag amazing premium material premium design
374,5,good good nice
375,5,good design material finishing get enough compartment everything nice colour worth buying
376,4,good quality look really nice slightly not look like office bag great purchase
377,4,design bag meterials good zipper really bad not know long stay may month le clearly took advantage defect blamed customer not good
378,5,though bag little big big else inch laptop not fit total pocket outside huge chain put essential even compartment keep inch laptop ipod inch laptop recommend amazing quality
379,5,excellent quality worth every penny
380,3,price product worth buy use year sure value money
381,5,well made super quality
382,5,easy carry handle well packed best one good quality
383,5,good bag good bag
384,5,good product super cool
385,5,total value money perfect everyday use fantastic product every professional
386,5,impressed design enough compartment pocket worth buying price range would say price use office purpose enough space keep stuff including laptop tiffin book umbrella met expectation
387,5,iam using college use carry laptop early difficult carry college bag laptop looking thank nice product liked thanks
388,4,feedback say lot storage space lot zip stuardy rugged good bag use
389,3,price tag bag provided rain cover atleast not expecting fully waterproof hook quality stitching quality improved massively hook pure pvc obviously break point zip also not great quality product look premium rain cover better zip hook quality product definitely big hit would say product
390,5,nice nice
391,4,good quality good stylish bag
392,5,pls buy product every one excellent quality
393,4,play video one best bag rupee quality good good
394,5,good quality fully useful bigger size help organize laptop tablet mobile money book pen many best office use best office use
395,4,bought bag school expectation really low since clearly not look like made page long math book idea return first day arrived not fit school book stationary boy wrong book fit perfectly many compartment way use different compartment different function every pro opposite con science joke place lunch snack even small eater probably need lunch bag separately water compartment not blame designer since made completely different reason probably need fit water bottle lunch bag around small issue buying perfect bag school although not first idea probably boring soooo one final thing amazing idea many way wear bag wear office school picnic etc even use laptop bag people working field filmmaker photographer etc perfect guy surprised withstand bulky book yet look stylish
396,5,super nice one nice
397,5,bag really amazing even liked design attractive apart really helped shoulder pain could use multiple way convertible bag
398,5,extremely satisfied quality sturdiness bag initially apprehensive using fabric bag must say much happier satisfied sturdy spacious
399,5,using bag almost year puller elastic fallen otherwise laptop secure bag offer foam side even accidentally dropped bag numerous time traveling even though nothing happened laptop satisfied item best thing ever bought amazon
400,4,best office use good product good price
401,4,good quality product dimension not comfortable wear shoulder bag suggest make cushion bit better good quality
402,4,bag good appealing many pouch store stuff laptop section segregated pouch slide suitable storing bug slightly heavier may due good quality material good quality bag slightly heavy
403,4,good quality actually dark gray not light gray shown picture good quality different color
404,4,expected not bulky bag bulky
405,5,bought product regular office use experience good bag spacious enough room laptop accessory also room small lunch box material light weighted look classy changing shoulder bag bagpack awesome addon surely recommend office personal stylish spacious strudy
406,4,nice daily office college use
407,4,bag look good quality end point belt not good quality
408,5,every aspect designed day life quality compartment zip excellent carry travel bag laptop bag pro executive bag quality design
409,5,great bag quality not compromised anything briefcase backpack required ample pocket space great bag
410,5,material finishing good look classy cushioning laptop adequate little bit expensive price tag good quality product little bit expensive
411,5,used month material finishing ease use good worthy product hat designer good quality product
412,5,love bag really nice design well made look trendy different mass produced bag would great material subjected water proofing unique beautiful
413,5,material good useful shooting makeup bag shooting makeup bag
414,5,title review excellent material carry essential tour travel
415,5,good
416,5,product nice product
417,5,useful handy
418,4,good sturdy quality spacious plus multiple pocket never miss anything store everything bag specially electronics gym clothes slightly big size not big make uncomfortable carry worth price good daily use office bag
419,5,worth buy excellent office
420,5,loved style colour dark green material attractive love product attractive sturdy must buy
421,4,overall fine chain not moving smoothly not look high quality look good decent quality chain look ordinary
422,4,bag cover not given good product
423,5,ample amount space ease use two style carrying like back pack hand shoulder wow best bag ever buied
424,5,product quality design good definitely good buy great product worth
425,5,extremely good happy extremely good happy
426,5,good good
427,5,good quality zipper outer material thoughtfully made like concealed shoulder strap multiple compartment look good good quality convertible formal sling backpack
428,5,good quality good quality
429,5,good product not waterproof
430,4,look quality extremely satisfying also packaging good genuine review
431,5,plethora option attracts one attention good product
432,5,zipper lock pretty good lot pocket little heavy though product quality good nice
433,5,great product value money quality
434,4,many separation useful travel nice bag
435,5,fat mug bag nice specious good one day tour also nice spacious bag
436,4,good looking beg multiple pocket good looking stylish beg
437,4,comfortable organise thing day travel use comfortably usually take laptop best laptop bag hold laptop additional pair clothes nice job fatmug keep work worth every penny worth
438,5,not think buy best top notch product affordable price
439,5,amazing bag adequately big premium feel recommend everyone amazing product
440,5,travelling good fabric stitching model design look also great
441,4,bought office use not comfortable shoulder capacity organisation good multiple internal well external pocket easy distribute different item different place quality good well worth buy good product
442,5,one review amazon felt compelled say good bag many little thoughful thing helpful heartwarming know social responsibility employ disadvantaged donate yet manage create stunning functional design craftsmanship well built product refreshing find good local brand
443,4,verry good look professional everyone ask name price premium goodlooking
444,5,got bag first impression pretty darn good tend weigh thing utility prespective seems spacious lot pocket organize stuff like zipper feel well made fine stiching option convert bag pack nice touch got dark grey colour look good paired brown theme fabric feel sturdy would use understand well actually hold asking price would say fair roi hold well thanks fatmug pleasantly surprised
445,5,good product bigger expected good quality good space management value money good product value money
446,5,good product accommodate many item ease worth money best product
447,4,good quality bag office
448,5,met expectation happy product good
449,4,bag excellent term build quality space many great feature however one downside not waterproof good bag not waterproof
450,5,nice product love colour design nice loved astounding product
451,5,multipurpose easy transform sling bag backpack quality decent multiple pocket really useful multipurpose
452,4,product well crafted good quality material good price product thing consider lot zipper may not preferable everyone bag feel like bulky buy carry laptop also keep lot stuff book dairy file folder cloth also inch laptop perfect size bag someone inch laptop feel bulky size bag felt lot cabin lot zipper pocket help put electronics accessory one place laptop charger external hard drive small pouch memory card adaptor card reader pen drive stylus notebook file folder well fitted bag quality price good rest call worth buying
453,5,play video carry easy three way suggest buy product best product
454,4,bag great spacious two issue proper space bottle waterproofing good product
455,5,quality superb delivery delayed product also not packed amazon packaging bag really nice colour bit dark picture good quality gift brother loved star nice
456,5,portability value money multipurpose easy carry
457,5,quality really good feature given work perfectly worth money useful daily work small travel fit laptop perfectly keep easily pair clothing traveling small pouch front quite useful key phone small item easily convertible form side bag bagpack worth money good quality
458,5,good product good product
459,4,strong stylish
460,5,liked value money product
461,4,look great not practical respect space look great not practical respect space
462,4,better leather bag seriously good quality product
463,5,first would thank mfr fatmug excellent product complete convenient bag enough pocket decent strap laptop even tablet bag really light not feel shoulder back muscle took bag official trip delhi well fantastic laptop bag
464,5,play video totally worth money color bit darker shown app color better shown sooo many pocket carry everything plus carried like briefcase one side shoulder also back pack provision everything loved bag thing wish would made water resistant cloth sturdy last long best laptop bag
465,4,like good
466,5,sturdy spacious look good formal attire definitely star awesome product
467,4,good frequently traveller carry number item good space holder worth money
468,5,guy providing premium material design great price may suggest get manufacturing flat hat golf flat boy hat well designed cotton comfort material make successful product manufacture segment looting people lot excellent bag amazing premium material premium design
469,5,good good nice
470,5,good design material finishing get enough compartment everything nice colour worth buying
471,4,good quality look really nice slightly not look like office bag great purchase
472,4,design bag meterials good zipper really bad not know long stay may month le clearly took advantage defect blamed customer not good
473,5,though bag little big big else inch laptop not fit total pocket outside huge chain put essential even compartment keep inch laptop ipod inch laptop recommend amazing quality
474,5,excellent quality worth every penny
475,5,well made super quality
476,5,easy carry handle well packed best one good quality
477,5,good bag good bag
478,5,good product super cool
479,5,total value money perfect everyday use fantastic product every professional
480,5,impressed design enough compartment pocket worth buying price range would say price use office purpose enough space keep stuff including laptop tiffin book umbrella met expectation
481,5,play video iam using college use carry laptop early difficult carry college bag laptop looking thank nice product liked thanks
482,4,feedback say lot storage space lot zip stuardy rugged good bag use
483,5,nice nice
484,4,good quality good stylish bag
485,5,pls buy product every one excellent quality
486,4,one best bag rupee quality good good
487,5,good quality fully useful bigger size help organize laptop tablet mobile money book pen many best office use best office use
488,4,bought bag school expectation really low since clearly not look like made page long math book idea return first day arrived not fit school book stationary boy wrong book fit perfectly many compartment way use different compartment different function every pro opposite con science joke place lunch snack even small eater probably need lunch bag separately water compartment not blame designer since made completely different reason probably need fit water bottle lunch bag around small issue buying perfect bag school although not first idea probably boring soooo one final thing amazing idea many way wear bag wear office school picnic etc even use laptop bag people working field filmmaker photographer etc perfect guy surprised withstand bulky book yet look stylish
489,5,super nice one nice
490,5,bag really amazing even liked design attractive apart really helped shoulder pain could use multiple way convertible bag
491,5,extremely satisfied quality sturdiness bag initially apprehensive using fabric bag must say much happier satisfied sturdy spacious
492,5,using bag almost year puller elastic fallen otherwise laptop secure bag offer foam side even accidentally dropped bag numerous time traveling even though nothing happened laptop satisfied item best thing ever bought amazon
493,4,well designed laptop bag spacious enough even laptop importantly lite weight best buy
494,5,best color quality worth money
495,4,bag big spcacious many pocket used travel bag also spacious big bag
496,5,really comfortable official purpose great carrying amount luggage comfortable
497,5,nice product nice product
498,5,good quality product many pocket also various option strap best part shoulder strap zipped inside not want hanging getting hooked accidentally overall worth price recommend product great product quality usability
499,4,bag good side little heavy good
500,3,play video like material zipper quality dislike image shown picture spacious talk space putting laptop small diary book like catalog feel like tourist bag not carry else feel bag torn apart minute carry much stuff not comfortable daily work use travel well not easy use carry daily travel occasionally way stitching quality somehow make feel like going torn apart carrying extra weight not feel backpack personal experience recommendation not meanwhile budget either branded backpack add extra buck budget hammonds flycatcher leather bag not worth buying
501,3,material fine bag big not college student office purpose big feel like sale bag good one like sale bag
