Stars,Titles,Reviews
5,American Tourist backpack,"Play Video
 Amazing product.. I love it.. material is awesome packing was also nice bag was not packed with unnecessary paper which I liked most. Thank you so much Amazon for this wonderful product.. Amazon is always love 💜 delivery was smooth always got best product"
5,Good durability,Nothing is better than this
5,Superb product,Worthy for money
5,It is good looking with unbeatable quality,Play Video
3,Average Quality,The material used very thin. It having much spaces than expected but i don't know how much weight can be handled. Color is just OK. Padding is also not that expected level. Overall worth for 1000₹
5,Good as expected,Good as expected
5,NICE BAG,"Very compact and good to carry laptop,waterbottle and for daily use."
4,Good,Stitches are solid. It is premium. Weight is less.
5,Good quality bag in town,Finally a good quality bag is with me with this affordable price.
5,Bag majbuti hai aur Achcha hai,Bag to design mein Achcha hai per andar aur thoda pocket Diye to Achcha rahata tha Baki to Silai Achcha hai sab Kuchh achcha hi hai
5,Quality is good,This bag too good to carry and quality also fine
5,"It's spacious bag, and most value for money products",
3,Nice bag,I like this bag
5,good quality product.,worth every penny. happy with the product.
3,Avarage,"Just ok , looking not good"
5,Quality not good,Waste of money quality so bad
3,Average,Non water proof... not durable during rainy season
4,American tourister back pack,The quality of bag is good and the rate for bag is ok
4,It's so spacious,
4,Ok,Ok
3,How Can a Luggage band make this mistake,"Decent 35 lt backpack bur does not have side reinforcement bands.

For it's size and if you use it at a school bag with 12 Kg weight it can be bad for your back .

Retrun it.

American Tourister I am sure you will not committed this Rs 20 cost saving in USA"
4,Good,Overall good
4,Light weight,"Bag is okay, light weight, but no rain cover provide"
4,Good for student,Nice & comfortable
5,Very nice 👌,Very nice 👌
4,nice bag but within 6-7 months pockets torn off,bag is good but pockets are not good.
4,Nice 👍,Good one
5,Very Good Product,"Value for money
Long durability"
5,Best Bag 🛍️ I recommend it.,Best Bag I like it .i would also recommend it
4,Good quality,I like the product
4,Good product,"Overall good product, using last 1 month without any issues"
4,Bag review,Very good product it is very easy to use and the package is all good so I recommend you to buy this but one think I don't like is it has less space but still you can buy it
4,Good quality,Value for money
4,पैसा वसूल,Good
4,Decent for the cost,This bag is decent for 1k. Zips are a bit low quality. The 3rd pocket doesn't have much space. The bottle holder has started to tear after a few weeks. Looks alright and is comfortable enough for daily use though.
4,Good Product,I like it.
4,"Best in category, Go for it.","It's spacious in the given price range and the quality is also good. Looks descent and standard, unlike the other brands in this budget."
4,Material quality is good,Good quality in given price
4,Very nice product,Very nice product.
4,Good quality bag," Not bad in this price, good quality"
4,VERY NICE,VERY NICE PRODUCT
4,Very comfortable,Good looks
4,Good Quality,Nice bag in this price range. check size once with your body type.
4,Badhiyaa,Good .majbut bag h
4,No Rain cover,Why there is no rain coat cover as mentioned in the product image
4,Good product,Goog product material
4,Perfect! For school & collage students,
4,Good product,For school
4,Good product in this price.,Good product in this price.
4,Good 👍,Nice beg
4,Product,Good quality product 👍
4,Comfortable & good one,Useful for everyone
4,Back pack,Everything is good but the price much according size.
4,Very good,Very good
5,very nice bought yesterday,it is looking very good as a bag but there was no packaging. i dont like it. i want my some costly product packaged which is safe in a good packaging.
5,👍,Good worth for money
4,Nice but I want a little bit smaller in height,"Comfot good, quality is good and seems durable product."
4,Good product,Good material
5,Amazing,Amazing Quality. Worth for a Money
5,Awesome,Awesome 🛍️
4,Should opt for black Colour,"White colour bag is good, but the print on the outside vanishes after regular use. So in my opinion one should opt for black one"
4,All good except one...,"The product was top-notch... It was lightweight, water resistant, had plenty of pockets.... and the product material was definitely good. But the only issue was I got the blue and white bag, and with only 2-3 days of use the white material was starting to come off or getting dirty, ad worst is the dirty part couldn't be cleaned with soap, alcohol, sanitizer, or anything else... However, it definitely looks cool 👍🏼"
5,Nice product,Nice
5,Good space,
5,Good product,Value for money
4,Nice,Great bag
4,Nice,Nice bag
5,Quality,It is good and space is also much.
4,About Laptop pocket,Bag is too good but no Laptop pocket.
5,Good one,Comfortable and rough and tough
5,Best quality,Quality product
5,Durable product,Good and spacious bag
4,Good,Satisfied with product and delivery timing
5,good,good
4,Bottle pocket,After the use of 15 days bottel pocket got cut own of its own
4,Bag,It's good but the back will get easily damaged soon
4,Bag review,Good bag
5,Best quality,Material is very good and zip quality is best.
4,Classic backpack,Water resistant Material
5,Good quality,I am very happy
4,Best,Like
5,"Nice looks, Good amount of Space for Books, Water Bottle holder is also big enough.",
5,American Tourist backpack,"Play Video
 Amazing product.. I love it.. material is awesome packing was also nice bag was not packed with unnecessary paper which I liked most. Thank you so much Amazon for this wonderful product.. Amazon is always love 💜 delivery was smooth always got best product"
5,Good durability,Nothing is better than this
5,Superb product,Worthy for money
5,It is good looking with unbeatable quality,
5,Good as expected,Good as expected
5,NICE BAG,"Very compact and good to carry laptop,waterbottle and for daily use."
4,Good,Stitches are solid. It is premium. Weight is less.
5,Good quality bag in town,Finally a good quality bag is with me with this affordable price.
5,Bag majbuti hai aur Achcha hai,Bag to design mein Achcha hai per andar aur thoda pocket Diye to Achcha rahata tha Baki to Silai Achcha hai sab Kuchh achcha hi hai
5,Quality is good,This bag too good to carry and quality also fine
5,"It's spacious bag, and most value for money products",
5,good quality product.,worth every penny. happy with the product.
5,Quality not good,Waste of money quality so bad
4,American tourister back pack,The quality of bag is good and the rate for bag is ok
4,It's so spacious,
4,Ok,Ok
4,Good,Overall good
4,Light weight,"Bag is okay, light weight, but no rain cover provide"
4,Good for student,Nice & comfortable
5,Very nice 👌,Very nice 👌
4,nice bag but within 6-7 months pockets torn off,bag is good but pockets are not good.
4,Nice 👍,Good one
5,Very Good Product,"Value for money
Long durability"
5,Best Bag 🛍️ I recommend it.,Best Bag I like it .i would also recommend it
4,Good quality,I like the product
5,Worth for money,"Worth for money, good quality. Received in good condition."
5,Valuable,Best bagpack don't think just go for it only drawback is there is no compartment for laptop other wise it is a very good product 😎😎
5,A usefull purchase.,Excellent product.
5,Nice Product,Quite Big and light weight. The material used is also quite nice
5,Good product,Nice bag. My son loved it.
5,Value for money,"Fully satisfied about this product.
Good delivery. Easy payment done 👍
Thanks Amazon 😊"
5,Quality,good quality and also more space
4,Quality,It's great
4,No rain cover,In the image it show that bag has a rain cover but it doesn't have any rain cover.
4,Good,Good
4,Bad,Side bottle Cary burst in one month
5,Nice,I like this product and very nice
4,The look and strength of the bag also its size and space provided,Very fancy look with high strength and big size
5,"Worth every Rupees, Go for it","I bought it many years ago and while just browsing Amazon orders i m here to review this bag. It has been with me 4 years of my graduation and still in good condition, I have travelled many places with my bag and my 3.5 kg laptop with all accessories and also cloths in it and found it ultra durable. I had bought this for around 800Rs and along with a skybag for my brother, So this is still with me but my brother abandoned his bag cause that bag can't even store books and showes many problems.
So this is not just my bag but it's my emotion."
5,Very good bag Ikep 1week trip luggage in that bag it is 32lit but it is very big,Very good bag it looks good it's packing is good
5,nice bag,quality
4,Good bag value for money,Durable and good looking
4,Nice and Durable,Good quality product but the raincover is falsely advertised.Its not included in the bag.Otherwise great bag and worth the price.
4,Good Product,"Good for college, and for laptop."
4,Bought as a gift for child,"Hope it works well for long. Looks good, quite lightweight. Delivered on time. Hope it can withstand the weight of more than a dozen text and note books. Will update review after use."
4,Good bag, I like the capacity of bag good for travelling and one minus no laptop sleeve
4,Light Weight,"Very Nice Bag,Value for money,Spaceable, Good Quality, For All classes."
4,This is my birthday gift. I am really happy with the product😁,
3,Normal product,It's 2nd copy look like if u use daily it's will be 12 or 15 months you can use its after it will be demage
3,Quality,Product made out of thin material and not durable
3,Not the value that we pay,Think that it is not original as quality not good
3,Product quality is ok ok,600 to 700 worth quality is not up to the mark style is good
3,Super quality,Very nice quality and after 6 month front white color are gone don't wash your bag 3 times 6 month
3,Poor quality,This item was purchased expecting a good American Tourister quality. The bag is light weight and spacious but is very flimsy and does not provide any back support. This bag should not be purchased as a laptop bag. Not sure if it will last long with extended usage.
3,Torn within one year,The mesh pockets of this bag get torn within one year ....I usually used this bag for class.
3,Does the job well but ....,Found is very useful and quality also good. But the side mesh pockets are of real bad quality. Both of them got torned within 2 months of usage. The mesh material could be better. Other than that the bad serves me we'll.
3,Not bad😎,
3,Average quality product,Average quality product. Single zip per every compartment. Zip runner is single!!! Cost saving bad feature for the brand
3,Bag seems fine. Rain cover missing.,The bag I got it for 899. It's fine but no rain cover provided.
3,I did not get the rain bag cover,I did not get the rain bag cover
3,Good for travel,No separate compartment for laptop
3,Just okay,Material is not so good but it is quite spacious. After 3 months of use it looks quite old.
3,Good,Good but too large overall best
3,This bag has a big compartment,For school
3,Not satisfied,Side pocket torn apart afer use of water bottle
3,Photo looks better than the product,Okay one
3,Average Quality,The material used very thin. It having much spaces than expected but i don't know how much weight can be handled. Color is just OK. Padding is also not that expected level. Overall worth for 1000₹
3,Nice bag,I like this bag
3,Avarage,"Just ok , looking not good"
3,Average,Non water proof... not durable during rainy season
3,How Can a Luggage band make this mistake,"Decent 35 lt backpack bur does not have side reinforcement bands.

For it's size and if you use it at a school bag with 12 Kg weight it can be bad for your back .

Retrun it.

American Tourister I am sure you will not committed this Rs 20 cost saving in USA"
3,Design torn,"The design on the bag will torn after 2 months, the bag is waterproof and best for all uses."
3,Large size not suitable to daily commuting,Bag is large in size and not comfortable to daily travelling
3,Cheap materials.,"The material of this bag is like cheap plastic.
The elastic on the bottle holders get loose real fast.
The last two pockets are barely useable."
3,Good,Not value for money
3,Good,Good
3,Very good net and clean condition and package not good and delivery man not good 👍🏻, Very good bag and original amarican touraster
3,Rain bag cover is not in the bag,Dislike because rain bag cover is not in the bag
2,Not good,The bottle pockets ripped in just two months of use...didn't expect this from such a brand...
2,Poor quality,Don't buy this bag
2,Ok ok,Ok ok
3,Quality not good,"Play Video
 No use of Side pockets"
3,Quality compromised,The material is vert thin and delicate. It is not sturdy at all. Infact the net of the side pockets got torn within 2 days.
3,Bag quality,"Bag quality is poor, bag sides no protection for laptop if we kept bag in ground bag and laptop direct hits ground"
3,Not bad,Not bad
3,Good product,Quality is best
3,Not worth to buy,Quality of the material is very poor. It doesn't come with paded laptop compartment which is very critical for protection. Plastic top is very poor quality
2,Nothing,The packaging of the product is poor. And its can may have of duplicacy.
2,Material.,Not so good product.Quality of the product is worst.
1,Not Original American Tourister,"I have the same bag which I bought from the outlet. Luckily I was able to compare both of them.
The material quality is not even worth 300. Even the bottle mash is made of plastic which will break in 1 month. Do not buy this product from this seller.
Go buy from Outlet."
3,The quality of the bottle holders is so bad👎,"I do like the bag it has a lot of space to keep your books, notebooks and other things but quality of bottle holders is so bad that it tore off even in less than a month so disappointed about that and I can't keep my lunch box, it doesn't has an separate section."
3,Ok,It didn't feel like original product
3,Bag is good for school or travel activities,"Material is lightweight and of good quality but is very thin, only back side is padded.
NO LAPTOP COMPARTMENT.
NO RAINCOVER OR POCKET.
NO MULTIPURPOSE POCKETS."
3,Not bad,Value of money
3,Insufficient accessories,The bag came without the rain bag cover as mentioned
3,Not as Waterproof as expected,Thought the whole bag would be waterproof. Although its covering the zip but still not fully covering the front and back area.
3,Best for daily use,Very good strorege is available
3,Quality,Quality not that good....look wise its good
2,Bad quality,"Strip broken in first day
Worst product i ever seen
Don't go on outer apperance"
2,poor quality,"Not worth for brand, it's look like local brand. More spacious but Very poor quality material."
3,American tourister bag,"Material is not so good and it showed that there is bag cover but it's not provided.

Not s"
2,No water resistance,Water gets inside in heavy rain… books will get wet
3,Very less features,"Very less features, very thin material, no separate key holder.
But convenient to use and carry maximum dresses and small accessories"
3,Material,Internal material quality is poor for rough use
3,Not satisfactory,"No Separate compartment for Laptop
Very Light material is used.
No special pockets
No Rain Cover"
2,No rain cover,Raincover not present
2,Not value for money,Poor quality
1,Disappointing.. No LAPTOP SPACE,"No laptop compartment or pouch....
Video says we can keep laptop but no separate space for it like other bags have.
Quality is jus OK. Not so great ."
3,Good,Good
3,Bag is good but............,The bag is good for capacity and it is very good for travelling to take even to school it's very good but tear in one month or two months request to not by product you can choose another product please don't buy this product event is going to buy we will take it careful or like for travelling don't take for school why I said to not take district school because when you take this school it will get automatically tear and in four months aur 3 month by this product please if you are travelling then you can buy this don't take to school that's all.
3,Bsd,Decent
3,Design and colours not as expected,"Design, quality and colours not as expected"
3,Quality not so good,"Purchased this bag based on ratings and reviews but not happy with the product quality.
Material used is very thin as compared to other bags i have at home."
1,Probably fake stuff,"Waste of money , finished within 30 days use. Might be fake stuff frim amazon .They are renowned for this ."
3,AVERAGE,AVERAGE PRODUCTS
2,BAD PRODUCT,Not a good product you can go offline market .... Totally loss 😔
2,Poor Material and Quality,"1. The side carry pocket is all torn up in just a month.
2. The zip is not working right.
3. The bag is too flimsy. No padding support for a bag that big

Not worth it at all."
2,An ok ok bag,I thought that it was a polyester mater but after receiving it I knew that it was not polyester and all it was like a flex material a hard one . Frankly I didn't like it 😔
3,Ok,Ok
1,High expectations from American tourister,"I have used american tourister many times even I have backpack, suitcase of this brand only but I puchased it online very first time and this I didn't expected from them. If we are puchasing any product with an offer it doesn't mean that thw quality depends on the money paid."
3,Value for money,Value for money
3,Product is good but white colour in not good that types of beg,Product is good but white colour in not good that types of beg.
1,Disappointing Quality and Durability(Poor quality),"Play Video
 I purchased the this bagpack back in February with high hopes of owning a reliable and durable product. However, my experience with it has been nothing short of disappointing. After only a few months of very limited usage, I noticed several issues that should not have occurred.

Firstly, the bottle holder mesh, which is an essential feature for me, unexpectedly tore apart. I didn't put any excessive weight or strain on it, as I only used it occasionally. Additionally, the zip chain came off, leaving the bag's contents vulnerable and causing inconvenience.

What surprises me the most is that I didn't even use the bag on a daily basis, yet it still encountered numerous problems. I expected better quality and craftsmanship from a brand like American Tourister, known for its reputation and assurance of providing reliable products.

Regrettably, I didn't read any reviews before purchasing this product, and now I understand the importance of doing so. I hope this review serves as a warning to others who might be considering purchasing this item. It simply did not live up to its promises, and I cannot recommend it to anyone."
1,Very Wrost product,Too Small And Quality is Not Ok
3,Image and the real product is slightly different,"Picture and the actual product what i have received is slightly different in term of colours. And quality it seems pretty normal to me it's not that great with that price.
Ifact the front part looks similar to raxine."
2,Not a good quality,Bag did not make it more than a year. My son used this it has ripped in several places
2,Not worth it Literally..,My precious bottle got slipped because there was no side straps for bottle protection and the bag quality is also not good. This will be easily available in 500/- from local Market
3,Quality is not good,Material is like a plastic but the space is nice
1,Poor quality,Not happy with the quality. It does not seems it's American tourister
1,Don't buy this cheap quality product.,Quality wasn't good. Very worst product. Seems like fake one
1,Bag is left site damage,"Damage only one time use
going to mp my brother"
3,Not upto the mark,The front chain has only on chain hook. Have to close chain completely every time.and that compartment also is opening 100% which makes things falling out of it. The material also looks glossy not the premium one.
3,Low quality bag,Quality of bag is not good. Very light. Not suitable for professional use.
2,I think its not a Genuine one...,"I've using this brand since 2012. But at this time am not satisfied with this product quality. Totally the backpack looks cheap quality especially in stitching... After using 1 month some stitches were become damage and also the Print Quality is cheap one...
So please think once again before buying this Tourister Backpack"
3,The outline and inner stitches are not that great.. needs to be even more sturdy,Not sure
1,Not standard design and look,"There is no compartment to keep laptop, so wiered"
3,Packaging was not good,Quality is good but one black spot on the handle.only carrybag use for delivery if they have used box so it would be good for delivery.
3,Not met the expectations,Bad quality
1,Very bad product,The quality of the stuff is very bad
3,Design and lightweight,"Abhi tk return ka payment nhi aaya h hum es pr case kr skte h 23 june ko returns le gya abhi tk received kyo nhi hua esi seva rahi to sbhi ka Amazon pr vishvash nhi rahegaOverall Product was good lightweight good design but..
The quality was not that good as expected from American tourister
Bottle holder was also big
Bag is suitable for 8th-College
Thanks amazon"
1,Too big and Amazon is not arranging the return,The product is too big for a school bag. Also they are not returning the product despite multiple follow ups. Not recommended.
3,Bag cover,They have written that it contains bag cover but bag cover is not their
3,SCHOOL BAG BEST FOR KIDS,Not for laptop or office use
2,Poor substandard quality,Very poor quality. Tore after a month of use. Looks duplicate. Doesn't seem authentic. Do not waste your money.
1,Stitching,Low material quality jip also not comfortable
1,Quality is very Bad, Material used is very Bad and Packing was also not done I would never trust this again and anyone should not buy this
2,Bad product,This print got cracked in just one month totally waste of money
1,Please Dont Buy This Bag .,I bought this bag around 1½ month ago in single month this bag started losing threds and one stripe was totally tore . Then I tried to claim warranty of this bag every store said this bag is 7-8 year old model of which production was stopped years ago thats why they are selling to Amazon flipcart at such minimal price . You can see the bottle holder it's made up of net which was used in old bag new bags of American tourister doesn't give met bottle holder it gives whole cloth. And waterproofing of this bag is worst just some drops of rain 💦 fell on this and it destroyed my whole books even when I had wore bag raincoat . If there were an option of zero star I would have loved to give it. It's not even worth 300rs. Buy offline bags if you want to buy American tourister. My previously used bag is still in working condition which I'm using for 6 year. 👎👎👎👎
4,Good product at good price.,Best for office use
4,Very good quality,"Very good quality product, but the dimensions of the is not that comfortable when you wear it as a shoulder bag suggest to make the cushions and bit better"
4,"Good Quality, but the bag is slightly heavy","Bag is very good and appealing. It has many pouches to store stuff and the laptop section is segregated with pouches and slides suitable for storing laptop/tablets. But the bug is slightly heavier, may be due to good quality material."
4,Good quality but different color,"Good quality, but it's actually a dark Gray, not light Gray as shown in picture"
4,Bulky,I expected not a bulky bag.
5,"Stylish, Spacious & Strudy",Bought this product for regular office use and the experience is very good. Bag is spacious with enough room for laptop & it's accessories also there is room for small lunch box. Material is very light weighted and the look is very classy. Changing it to a shoulder bag or bagpack is an awesome addon. Will surely recommend this for office personals.
4,Nice for daily office and college use..,
4,Quality,The bag looks very good. But the quality of end points of the belt wasn't good.
5,"Quality, Design,","In every aspect they designed it for day 2day life.
Quality, compartments, zips excellent.
You can carry it as a travel bag, laptop bag,pro executive bag. 5*"
5,Great Bag!,"Great bag and quality is not compromised on anything! it's a briefcase & backpack both as required.

Ample of pockets & space in it!"
5,Good quality product bt a little bit expensive.,"Material, finishing, is good. Looks classy. cushioning for laptop is adequate. But little bit more expensive at 1700 ₹ price tag."
5,Good Quality product,Used 6 months....Material...Finishing ..ease of use...are good...worthy product...hats off to the designer.....
5,Unique and Beautiful,Love this bag. Really nice design and well made. Looks trendy and different from the mass produced bags. Would be great if the material is subjected to some water proofing.
5,Shooting makeup bags,Material is too good . Can useful for shooting makeup bags..
3,Not Worth Buying," Like -
Only Material and Zipper Quality

Dislikes -

Images shown in picture that it's very spacious but If we talk about space after putting 1 laptop , 2 small diaries , 2 book like catalogs it feels like tourist bag.

You can not carry more than this else you will feel that your bag will be torn apart after few minutes if you will carry that much stuff.

Not comfortable for Daily work use and travel as well,

Not easy to use and carry in daily work-life and travel in occasionally way.

Stitching quality somehow makes you feel like that This is gonna torn apart after carrying some extra weight which you will not feel any other backpacks.

My personal experience and recommendations that don't Go with This.

Meanwhile in same budget either go with some branded backpacks or Add some extra bucks in your budget and go with Hammonds Flycatcher Leather Bags."
3,Good one but it's more like a sales bag,The material is fine. But the bag is too big and it's not for college students or office purposes as it is too big and feels like a sales bag.
5,Excellent material to carry all my essentials for my tours and travels.,Same as above title review.
5,Good,NA
3,good material and overall structure but...,"one of it's outer pockets came off because of poor sewing. otherwise it was a good bag, i always carried a lot of weight in it and while it became a bit uncomfortable because of its weight it fared for almost a year which is quite a fair duration of time for all the heft i stored in it. its fabric around the belt joint tore up after 10 months of use."
5,Nice product,V.Nice product
5,"Useful , handy",
4,Good daily use office bag,"Good Sturdy quality and very spacious. Plus with multiple pockets you never miss anything. You can store everything in this bag. Specially electronics and gym clothes.
Just slightly big in size but not that big to make you uncomfortable to carry.
Worth the price!"
5,Excellent for office,Worth to buy.
5,Very attractive and sturdy a must buy,"Loved the style,colour which is dark green and material is very attractive. Love the product"
4,"Looks good and decent quality, chains look ordinary","Overall it is fine, but chains are not moving very smoothly and don’t look high quality"
4,Good product,Bag cover not given
5,Best bag ever buied by me,"Ample amount of space, and the ease of use with two style of carrying like back pack and in hand or on shoulder... Just wow."
5,"Great product, Worth it","Product quality and design is good , definitely a good buy."
5,Extremely good. Very happy.,Extremely good. Very happy.
5,good,good
5,Good quality convertible from formal sling to backpack,"Good quality of zippers and outer material
Thoughtfully made - like concealed shoulder straps, multiple compartments
Looks good"
5,Good quality,Good quality
5,only not a waterproof,good product
4,Genuine Review,Looks and Quality both are extremely satisfying....... And also packaging was good.
5,Good product.,Plethora of options what attracts ones attention.
3,Durability,The material used could have been better. The canvas used could have been thicker and the shoulder strap clips are very flimsy. Overall a good bag with lots of pockets
5,Very nice!,Zipper locks are preety good. Lots of pockets. Little heavy though. But the product quality is good!
5,Quality,Great product value for money
4,Nice bag,Hqving so many separations and useful for travel
5,"Very Nice & specious bag ..,","Fat mug bag is very nice and specious. It good to one day tour also..,"
4,Good looking stylish beg,Good looking beg with multiple pockets.
4,Worth it,"This is comfortable to organise things and for few day travel we can use this comfortably. I usually take 2 laptops with me, this is the best laptop bag to hold the 2 laptops too with additional 2 pairs of clothes. Nice job FatMug keep up the work. Worth each and every penny."
5,Top Notcb product in affordable price.,Dont think just buy. Its best
5,Amazing product.,Its an amazing bag. Adequately big with that premium feel. I will recommend it to everyone.
5,"Good fabric, stitching,model, design and look also great .",Travelling.
4,Very good product,"I bought it for office use. It’s not the most comfortable to the shoulders but the capacity and organisation is very good and with multiple internal as well as external pockets it’s easy to distribute different items into different places.
The quality is very good as well.
Worth the buy"
5,Refreshing to find such a good local brand,"One of my only 2 or 3 reviews in Amazon. Felt compelled to say how good the bag is. So many little thoughful things that are very helpful. And heartwarming to know about their social responsibility and how they employ disadvantaged and donate. And yet manage to create a stunning functional design, craftsmanship and well built product."
4,Premium & Goodlooking,Verry good looking.You will look professional in it. Everyone will ask the name and price of it.
5,Pleasantly Surprised!,"Ok, so just got this bag and the first impression is pretty darn good.

I tend to weigh things from an utility prespective.
So it seems spacious.
Lots and pockets to organize stuff. Like that.
The zippers feel well made.
Fine stiching.
Option to convert to bag pack. Nice touch

I got the dark grey colour. Looks good paired with the brown theme.

The fabric feels sturdy, would have to use to understand how well it actually holds up. For the asking price I would say its a fair ROI, if this holds up well.

Thanks fatmug!"
5,"Good product, value for money!","Good product, bigger than expected, good quality, good space management and value for money!"
5,Best Product,"Very good product, where I can accommodate many items with ease. Worth for the money....🙂"
4,Good Quality Bag for Office,
5,Too Good,"Met Expectations.

Happy with the product"
4,Good Bag but not waterproof,"This bag is excellent in terms of build quality and space, and it has many great features. However, one downside is that it is not waterproof."
5,Astounding product,"Very nice product love the colour and design very nice,loved it....."
5,Multipurpose,It is multipurpose and easy to transform from sling bag to backpack ... quality is decent and multiple pockets are really useful.
3,"Almost great, some cheap thing destroying the overall value","The bag is good overall, nearly great. Looks wise it's decent, quality wise almost a semi-premium/ good enough...
#...except with a few cheap components that are spoiling it's reputation.
Like One very strikingly cheap part is the 'metallic-like' lock-clip attached to the plastic hooks of the strap. It's not even basic steel like that of a cheap safety pin. This is perhaps some composite material mixed with Aluminium or something else cheap only. It's looks so thin, and weak and looks like it'll break in to easily.
# They might have saved < 50 paise on that component
# This stupidity & cheapness on behalf of some designers/ quality team, in component sourcing is what destroys the whole effort of the brand to build 'premium'/good quality image!
# I'm taking of merely 2 stars for this as a customer. But if i were the quality head/ business manager in that company, would really not let this pass through."
4,Worth Buying @ Rs.1499/-,"Product is well crafted with good quality of material. Rs.1499/- is good price for this product but few things to consider. 1) Lots of Zipper which may be not preferable to everyone 2) Bag feels like too bulky if you only buy to carry laptop because here you can also keep lots of other stuff from books and dairies and file folder or some cloths also. 3) A 15.5 inch laptop is the perfect size for this bag if someone has 13.5 or 14 inch laptop then he or she will feel the bulky size of the bag as I felt.
Lots of cabin, lots of zipper pocket helps you to put all your electronics accessories in one place. I have Laptop, Charger, 2 External Hard Drive, small pouch with memory card - adaptor - card reader - pen drive - stylus, 2 notebook and 1 file folder are well fitted in the bag.

So, quality and price is good. rest is your call."
5,Best product, It was carry very easy in three ways. I suggest to buy this product
4,Good product,While the bag is great and spacious. The only two issues I have is no proper space for bottle and no waterproofing
5,Veryyyy nicee,"Quality is superb ,the delivery was delayed and the product was also not packed in Amazon packaging but the bag is really nice ,the colour is a bit dark than pictures ,but good quality ,it is gift for my brother and he loved it so 5 stars ."
5,Easy to carry,"Portability, value for money, mutlipurpose"
